FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
rebellion,「rebellions（リベリオンズ）」は、英語の名詞「rebellion（反乱・反抗・抵抗）」の複数形であり、複数の「反乱」「反逆」「反抗」を意味します。支配的な権力、政府、ルールなどに対する組織的な抵抗や、そうした事件が複数起きたときなどに使われます。,Arcade Fire『Funeral』,,
Club foot,（内反足）とは、生まれたときから足が内側や下に曲がっている、足の形の生まれつきの病気（先天性変形）のことです。,Kasabian『Kasabian』,,
Processed beats,（プロセスト・ビーツ）は、直訳すると「加工された（処理された）リズムや拍子」という意味になり、音楽用語としてはエフェクトや編集で加工したドラムの音・リズムトラックを指します。また、イギリスのロックバンドKasabian（カサビアン）の代表曲のタイトルでもあります。,Kasabian『Kasabian』,,
treason,（発音：[tríːzən]、日本語では「トゥリーズン」）は、国家や君主に対する反逆、裏切り、反逆罪を意味する英語の名詞です。自分が属する国に害を与えたり、敵国を助けたりする重大な行為を指します。,Kasabian『Kasabian』,,
I.D.,カサビアン（Kasabian）の楽曲「I.D.」の「I.D.」は Identification（身分証明書・身元確認、あるいは自己同一性＝アイデンティティ） の略であり、曲名としては「自分を見失う感覚や自我の喪失」を意味しています。,Kasabian『Kasabian』,,
L.S.F,カサビアン（Kasabian）の曲名「L.S.F.」は、「Lost Souls Forever（ロスト・ソウルズ・フォーエヴァー）」の略で、日本語で「永遠の迷える魂たち」という意味です。,Kasabian『Kasabian』,,
Transmission,Transmission（トランスミッション）は、「送信・伝達」「自動車の変速機」「感染」などを意味する言葉です。ラテン語で「送る」を意味する言葉から来ており、何かを向こう側へ「伝える・送る」という基本のイメージがあります。,Kasabian『Kasabian』,,
Interlude,Interlude（インタールード）とは、物事の合間、音楽の間奏曲、または演劇の幕あいを意味する言葉です。,Kasabian『Kasabian』,,
butcher,英語の「ブッチャー（butcher）」は、主に「肉屋」「精肉店の人」「食肉を解体・処理する人」を意味する言葉です。名詞だけでなく、動詞として「めちゃくちゃにする」「台無しにする」という意味でも使われます。,Kasabian『Kasabian』,,
Ovary,Ovary（オバリー）とは、英語で卵巣（動物）や子房（植物）を意味する言葉です。動物では卵子と女性ホルモンを作る生殖器官であり、植物ではめしべの下部にあたります。,Kasabian『Kasabian』,,
U Boat,Uボート（U-boat）とは: 元々はドイツ語の「Unterseeboot（潜水艦）」の略称で、主に第一次・第二次世界大戦時のドイツ海軍の潜水艦を指します。,Kasabian『Kasabian』,,
Eruption,Eruption （火山の）爆発，噴火，（溶岩などの）噴出,Van Halen『Van Halen』,,
Atomic,Atomic 原子の,Van Halen『Van Halen』,,
Holy Wars... The Punishment Due,アメリカのスラッシュメタルバンド、メガデスの名曲「Holy Wars... The Punishment Due」の直訳は「聖戦…当然の報い」です。宗教対立や戦争の愚かさ、そしてそれらがもたらす因果応報や破滅を描いた2部構成の楽曲です。,Megadeth『Rust In Peace』,,
Hangar 18,「Hangar 18（ハンガー18）」とは、アメリカのオハイオ州にあるライト・パターソン空軍基地に存在すると噂される、UFOや宇宙人の遺骸が極秘裏に隠されているという都市伝説上の格納庫を意味します。,Megadeth『Rust In Peace』,,
Take No Prisoners,「take no prisoners」は、英語の慣用句で「情け容赦ない」「手加減しない」「なりふり構わず徹底的にやり抜く」という意味です。もともとは「敵を捕虜にせず皆殺しにする」という軍事用語に由来しています。,Megadeth『Rust In Peace』,,
Poison Was The Cure,「Poison Was The Cure（ポイズン・ワズ・ザ・キュア）」は、アメリカのスラッシュメタルバンド、Megadeth（メガデス）の名盤アルバム『Rust in Peace』（1990年）に収録されている楽曲のタイトル、および英語の直訳で「毒こそが治療薬（救い）だった」という意味です。,Megadeth『Rust In Peace』,,
Five Magics,メガデスの楽曲「Five Magics」（1990年のアルバム『Rust In Peace』収録）は、主人公が悪政をしいる支配者を倒すため、5つの魔術を極めようとするファンタジーを描いた曲です。リンドン・ハーディの小説『Master of the Five Magics』から強い影響を受けて作られました。,Megadeth『Rust In Peace』,,
Lucrezia,メガデスの楽曲「Lucretia（ルクレシア）」は、1990年に発売された4thアルバム『Rust in Peace』に収録されている曲です。タイトルおよび歌詞に登場する「Lucretia」は、実在の歴史上の人物である「ルクレツィア・ボルジア（Lucrezia Borgia）」に由来しています。,Megadeth『Rust In Peace』,,
For Whom the Bell Tolls,「For Whom the Bell Tolls」は日本語で「誰がために鐘は鳴る」という意味であり、人間は皆つながっているため他人の死も自分に関係するという思想を表し、アーネスト・ヘミングウェイの有名な小説や映画のタイトルとしても知られています。,Megadeth『Ride the Lightning』,,
fade to black,「fade to black」は、映画や映像の「フェードアウト（黒く消えること）」を意味する英語です。また、比喩的な表現や、古着などの色あせた黒色、音楽の曲名としても使われます。,Megadeth『Ride the Lightning』,,
Ktulu,Ktulu（クトゥルフ）とは、アメリカの作家H・P・ラヴクラフトの怪奇小説に登場する、人間には発音できないほど奇怪な姿をした架空の神「Cthulhu（クトゥルフ）」の別表記です。ヘヴィメタルバンドのメタリカの楽曲名（The Call of Ktulu）などでもこの綴りが使われています。,Megadeth『Ride the Lightning』,,
Master of Puppets,「操り人形の使い手」や「黒幕」「裏で糸を引く支配者」という意味です。一般的には、他者を自分の思い通りにコントロールし、利用する人物を指します。また、アメリカのヘヴィメタルバンド、メタリカ（Metallica） の名曲およびアルバムのタイトル（邦題『メタル・マスター』）としても非常に有名です。,Metallica『Master of Puppets』,,
The Thing That Should Not Be,「The Thing That Should Not Be」は、英語で「あるべきではないもの」「存在してはならないもの」という意味で、アメリカのヘヴィメタルバンド、メタリカの楽曲名や、H・P・ラヴクラフトの怪奇小説に登場するクトゥルフ神話の存在を指します。,Metallica『Master of Puppets』,,
sanitarium,sanitarium（サニタリウム）は、療養所、保養地、養生院を意味する英語の名詞です。主に結核などの慢性病の治療や、心身の回復を行うための施設を指します。,Metallica『Master of Puppets』,,
Enter Sandman,メタリカの1991年の楽曲名であり、直訳すると「眠りの精を招き入れる」という意味です。ヨーロッパの伝承に登場する「子供の目に砂をまいて眠らせる妖精（サンドマン＝睡魔）」をテーマにしています。,Metallica『Metadata』,,
Holier than thou,「Holier than thou」は、自分を他人より道徳的に優れていると思い込む「独善的な態度」や「偽善」を表す英語の慣用句であり、アメリカのヘヴィメタルバンド、メタリカの同名楽曲としても広く知られています。,Metallica『Metadata』,,
unforgiven,英語の「unforgiven」は、「許されていない」「赦されていない」「許されざる」という意味の言葉です。過去の行いなどが原因で、まだ相手や世間から許しをもらっていない状態を表します。,Metallica『Metadata』,,
Wherever I May Roam,メタリカ（Metallica）の楽曲「Wherever I May Roam」の和訳は、「道が俺の花嫁となり、頭を休める場所こそが我が家、どこへさまようとも」という自由な放浪の生き様を描いています。,Metallica『Metadata』,,
Far Beyond The Sun,「Far Beyond The Sun」は、日本語で「太陽の遥か彼方」という意味です。音楽の世界では、ギタリストのイングヴェイ・マルムスティーン（Yngwie Malmsteen）の有名な曲の名前としてよく知られています。,Yngwie Malmsteen『Rising Force』,,
Icarus' Dream Suite Op. 4,「Icarus' Dream Suite Op. 4（イカロス・ドリーム・組曲 作品4）」は、ギタリストのイングヴェイ・マルムスティーン（Yngwie Malmsteen）が1984年に発表した名盤ソロアルバム『Rising Force』に収録されている代表的なギター・インストゥルメンタル曲です。,Yngwie Malmsteen『Rising Force』,,
"As above, so below","「As above, so below」は、「上にあるものは下にあるものの如く、下にあるものは上にあるもののごとく」という意味で、日本語では「上なる如く、下もまた然り」と訳されます。",Yngwie Malmsteen『Rising Force』,,
Little Savage,“little savage” は、直訳すると「小さな野蛮人」「かわいい暴れん坊」という意味になります。,Yngwie Malmsteen『Rising Force』,,
Farewell,Goodbyeとfarewellは、どちらも「さようなら」という意味ですが、使われる硬さ（フォーマル度）と場面が違います。Goodbyeは日常的で一般的な別れに使い、farewellはとてもフォーマルで、二度と会えないかもしれない時や特別な別れに使います。,Yngwie Malmsteen『Rising Force』,,
